134;;CUNEIFORM SIGN DUN;;12084;;dun
135;;CUNEIFORM SIGN DUN3;;12085;;dun<sub>3</sub>
136;;CUNEIFORM SIGN DUN3 GUNU;;12086;;dun<sub>3</sub>gunû
137;;CUNEIFORM SIGN DUN3 GUNU GUNU;;12087;;dun<sub>3</sub>gunûgunû
138;;CUNEIFORM SIGN DUN4;;12088;;dun<sub>4</sub>
139;;CUNEIFORM SIGN DUR2;;12089;;dur<sub>2</sub>
140;;CUNEIFORM SIGN E;;1208A;;e
141;;CUNEIFORM SIGN E TIMES PAP;;1208B;;e×pap
142;;CUNEIFORM SIGN E OVER E NUN OVER NUN;;1208C;;e/enun/nun
143;;CUNEIFORM SIGN E2;;1208D;;e<sub>2</sub>
144;;CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA;;1208E;;e<sub>2</sub>×a+ḫa+da
145;;CUNEIFORM SIGN E2 TIMES GAR;;1208F;;e<sub>2</sub>×gar
146;;CUNEIFORM SIGN E2 TIMES MI;;12090;;e<sub>2</sub>×mi
147;;CUNEIFORM SIGN E2 TIMES SAL;;12091;;e<sub>2</sub>×sal
148;;CUNEIFORM SIGN E2 TIMES SHE;;12092;;e<sub>2</sub>×še
149;;CUNEIFORM SIGN E2 TIMES U;;12093;;e<sub>2</sub>×u
150;;CUNEIFORM SIGN EDIN;;12094;;edin
151;;CUNEIFORM SIGN EGIR;;12095;;egir
152;;CUNEIFORM SIGN EL;;12096;;el
153;;CUNEIFORM SIGN EN;;12097;;en
154;;CUNEIFORM SIGN EN TIMES GAN2;;12098;;en×gan<sub>2</sub>
155;;CUNEIFORM SIGN EN TIMES GAN2 TENU;;12099;;en×gan<sub>2</sub>tenû
156;;CUNEIFORM SIGN EN TIMES ME;;1209A;;en×me
157;;CUNEIFORM SIGN EN CROSSING EN;;1209B;;enkreuzten
158;;CUNEIFORM SIGN EN OPPOSING EN;;1209C;;engegenüberen
159;;CUNEIFORM SIGN EN SQUARED;;1209D;;enimquadrat
160;;CUNEIFORM SIGN EREN;;1209E;;eren
161;;CUNEIFORM SIGN ERIN2;;1209F;;erin<sub>2</sub>
162;;CUNEIFORM SIGN ESH2;;120A0;;eš<sub>2</sub>
163;;CUNEIFORM SIGN EZEN;;120A1;;ezen
164;;CUNEIFORM SIGN EZEN TIMES A;;120A2;;ezen×a
165;;CUNEIFORM SIGN EZEN TIMES A PLUS LAL;;120A3;;ezen×a+lal
166;;CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL;;120A4;;ezen×a+lal×lal
167;;CUNEIFORM SIGN EZEN TIMES AN;;120A5;;ezen×an
168;;CUNEIFORM SIGN EZEN TIMES BAD;;120A6;;ezen×bad
169;;CUNEIFORM SIGN EZEN TIMES DUN3 GUNU;;120A7;;ezen×dun<sub>3</sub>gunû
170;;CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU;;120A8;;ezen×dun<sub>3</sub>gunûgunû
171;;CUNEIFORM SIGN EZEN TIMES HA;;120A9;;ezen×ḫa
172;;CUNEIFORM SIGN EZEN TIMES HA GUNU;;120AA;;ezen×ḫagunû
173;;CUNEIFORM SIGN EZEN TIMES IGI GUNU;;120AB;;ezen×igigunû
174;;CUNEIFORM SIGN EZEN TIMES KASKAL;;120AC;;ezen×kaskal
175;;CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED;;120AD;;ezen×kaskalimquadrat
176;;CUNEIFORM SIGN EZEN TIMES KU3;;120AE;;ezen×ku<sub>3</sub>
177;;CUNEIFORM SIGN EZEN TIMES LA;;120AF;;ezen×la
178;;CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL;;120B0;;ezen×lal×lal
179;;CUNEIFORM SIGN EZEN TIMES LI;;120B1;;ezen×li
180;;CUNEIFORM SIGN EZEN TIMES LU;;120B2;;ezen×lu
181;;CUNEIFORM SIGN EZEN TIMES U2;;120B3;;ezen×u<sub>2</sub>
182;;CUNEIFORM SIGN EZEN TIMES UD;;120B4;;ezen×ud
183;;CUNEIFORM SIGN GA;;120B5;;ga
184;;CUNEIFORM SIGN GA GUNU;;120B6;;gagunû
185;;CUNEIFORM SIGN GA2;;120B7;;ga<sub>2</sub>
186;;CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA;;120B8;;ga<sub>2</sub>×a+da+ḫa
187;;CUNEIFORM SIGN GA2 TIMES A PLUS HA;;120B9;;ga<sub>2</sub>×a+ḫa
188;;CUNEIFORM SIGN GA2 TIMES A PLUS IGI;;120BA;;ga<sub>2</sub>×a+igi
189;;CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB;;120BB;;ga<sub>2</sub>×ab<sub>2</sub>tenû+tab
190;;CUNEIFORM SIGN GA2 TIMES AN;;120BC;;ga<sub>2</sub>×an
191;;CUNEIFORM SIGN GA2 TIMES ASH;;120BD;;ga<sub>2</sub>×aš
192;;CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL;;120BE;;ga<sub>2</sub>×aš<sub>2</sub>+gal
193;;CUNEIFORM SIGN GA2 TIMES BAD;;120BF;;ga<sub>2</sub>×bad
194;;CUNEIFORM SIGN GA2 TIMES BAR PLUS RA;;120C0;;ga<sub>2</sub>×bar+ra
195;;CUNEIFORM SIGN GA2 TIMES BUR;;120C1;;ga<sub>2</sub>×bur
196;;CUNEIFORM SIGN GA2 TIMES BUR PLUS RA;;120C2;;ga<sub>2</sub>×bur+ra
197;;CUNEIFORM SIGN GA2 TIMES DA;;120C3;;ga<sub>2</sub>×da
